DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
26 October 2022 00:00,2823,-,Ireland
26 October 2022 00:15,2836,-,Ireland
26 October 2022 00:30,2849,-,Ireland
26 October 2022 00:45,2862,-,Ireland
26 October 2022 01:00,2874,-,Ireland
26 October 2022 01:15,2898,-,Ireland
26 October 2022 01:30,2921,-,Ireland
26 October 2022 01:45,2944,-,Ireland
26 October 2022 02:00,2968,-,Ireland
26 October 2022 02:15,3006,-,Ireland
26 October 2022 02:30,3045,-,Ireland
26 October 2022 02:45,3084,-,Ireland
26 October 2022 03:00,3122,-,Ireland
26 October 2022 03:15,3153,-,Ireland
26 October 2022 03:30,3184,-,Ireland
26 October 2022 03:45,3215,-,Ireland
26 October 2022 04:00,3247,-,Ireland
26 October 2022 04:15,3262,-,Ireland
26 October 2022 04:30,3277,-,Ireland
26 October 2022 04:45,3292,-,Ireland
26 October 2022 05:00,3307,-,Ireland
26 October 2022 05:15,3292,-,Ireland
26 October 2022 05:30,3277,-,Ireland
26 October 2022 05:45,3262,-,Ireland
26 October 2022 06:00,3247,-,Ireland
26 October 2022 06:15,3200,-,Ireland
26 October 2022 06:30,3154,-,Ireland
26 October 2022 06:45,3107,-,Ireland
26 October 2022 07:00,3061,-,Ireland
26 October 2022 07:15,3008,-,Ireland
26 October 2022 07:30,2955,-,Ireland
26 October 2022 07:45,2902,-,Ireland
26 October 2022 08:00,2850,-,Ireland
26 October 2022 08:15,2811,-,Ireland
26 October 2022 08:30,2772,-,Ireland
26 October 2022 08:45,2734,-,Ireland
26 October 2022 09:00,2695,-,Ireland
26 October 2022 09:15,2689,-,Ireland
26 October 2022 09:30,2682,-,Ireland
26 October 2022 09:45,2675,-,Ireland
26 October 2022 10:00,2669,-,Ireland
26 October 2022 10:15,2693,-,Ireland
26 October 2022 10:30,2718,-,Ireland
26 October 2022 10:45,2743,-,Ireland
26 October 2022 11:00,2768,-,Ireland
26 October 2022 11:15,2801,-,Ireland
26 October 2022 11:30,2834,-,Ireland
26 October 2022 11:45,2867,-,Ireland
26 October 2022 12:00,2900,-,Ireland
26 October 2022 12:15,2931,-,Ireland
26 October 2022 12:30,2961,-,Ireland
26 October 2022 12:45,2991,-,Ireland
26 October 2022 13:00,3021,-,Ireland
26 October 2022 13:15,3043,-,Ireland
26 October 2022 13:30,3065,-,Ireland
26 October 2022 13:45,3087,-,Ireland
26 October 2022 14:00,3109,-,Ireland
26 October 2022 14:15,3111,-,Ireland
26 October 2022 14:30,3112,-,Ireland
26 October 2022 14:45,3114,-,Ireland
26 October 2022 15:00,3116,-,Ireland
26 October 2022 15:15,3091,-,Ireland
26 October 2022 15:30,3067,-,Ireland
26 October 2022 15:45,3043,-,Ireland
26 October 2022 16:00,3019,-,Ireland
26 October 2022 16:15,2968,-,Ireland
26 October 2022 16:30,2918,-,Ireland
26 October 2022 16:45,2867,-,Ireland
26 October 2022 17:00,2817,-,Ireland
26 October 2022 17:15,2763,-,Ireland
26 October 2022 17:30,2709,-,Ireland
26 October 2022 17:45,2655,-,Ireland
26 October 2022 18:00,2602,-,Ireland
26 October 2022 18:15,2557,-,Ireland
26 October 2022 18:30,2512,-,Ireland
26 October 2022 18:45,2467,-,Ireland
26 October 2022 19:00,2422,-,Ireland
26 October 2022 19:15,2411,-,Ireland
26 October 2022 19:30,2400,-,Ireland
26 October 2022 19:45,2388,-,Ireland
26 October 2022 20:00,2377,-,Ireland
26 October 2022 20:15,2393,-,Ireland
26 October 2022 20:30,2409,-,Ireland
26 October 2022 20:45,2425,-,Ireland
26 October 2022 21:00,2441,-,Ireland
26 October 2022 21:15,2476,-,Ireland
26 October 2022 21:30,2511,-,Ireland
26 October 2022 21:45,2546,-,Ireland
26 October 2022 22:00,2580,-,Ireland
26 October 2022 22:15,2611,-,Ireland
26 October 2022 22:30,2642,-,Ireland
26 October 2022 22:45,2674,-,Ireland
26 October 2022 23:00,2705,-,Ireland
26 October 2022 23:15,2715,-,Ireland
26 October 2022 23:30,2725,-,Ireland
26 October 2022 23:45,2735,-,Ireland
27 October 2022 00:00,2746,-,Ireland
27 October 2022 00:15,2747,-,Ireland
27 October 2022 00:30,2749,-,Ireland
27 October 2022 00:45,2751,-,Ireland
27 October 2022 01:00,2752,-,Ireland
27 October 2022 01:15,2749,-,Ireland
27 October 2022 01:30,2746,-,Ireland
