DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
29 September 2022 00:00,958,1096,Ireland
29 September 2022 00:15,941,1077,Ireland
29 September 2022 00:30,924,1084,Ireland
29 September 2022 00:45,908,1107,Ireland
29 September 2022 01:00,1048,1111,Ireland
29 September 2022 01:15,1036,1108,Ireland
29 September 2022 01:30,1025,1080,Ireland
29 September 2022 01:45,1014,1086,Ireland
29 September 2022 02:00,1003,1086,Ireland
29 September 2022 02:15,1005,1115,Ireland
29 September 2022 02:30,1008,1096,Ireland
29 September 2022 02:45,1010,1074,Ireland
29 September 2022 03:00,1013,1067,Ireland
29 September 2022 03:15,1009,1023,Ireland
29 September 2022 03:30,1006,980,Ireland
29 September 2022 03:45,1003,973,Ireland
29 September 2022 04:00,999,981,Ireland
29 September 2022 04:15,1000,965,Ireland
29 September 2022 04:30,1000,955,Ireland
29 September 2022 04:45,1001,948,Ireland
29 September 2022 05:00,1001,998,Ireland
29 September 2022 05:15,998,1032,Ireland
29 September 2022 05:30,995,1008,Ireland
29 September 2022 05:45,992,1061,Ireland
29 September 2022 06:00,990,1026,Ireland
29 September 2022 06:15,981,1053,Ireland
29 September 2022 06:30,973,1067,Ireland
29 September 2022 06:45,964,1044,Ireland
29 September 2022 07:00,956,1064,Ireland
29 September 2022 07:15,933,1126,Ireland
29 September 2022 07:30,910,1157,Ireland
29 September 2022 07:45,887,1107,Ireland
29 September 2022 08:00,864,1071,Ireland
29 September 2022 08:15,867,1051,Ireland
29 September 2022 08:30,870,1023,Ireland
29 September 2022 08:45,872,931,Ireland
29 September 2022 09:00,875,850,Ireland
29 September 2022 09:15,848,783,Ireland
29 September 2022 09:30,822,749,Ireland
29 September 2022 09:45,795,698,Ireland
29 September 2022 10:00,769,657,Ireland
29 September 2022 10:15,746,624,Ireland
29 September 2022 10:30,723,595,Ireland
29 September 2022 10:45,700,601,Ireland
29 September 2022 11:00,678,614,Ireland
29 September 2022 11:15,657,595,Ireland
29 September 2022 11:30,636,523,Ireland
29 September 2022 11:45,616,496,Ireland
29 September 2022 12:00,595,457,Ireland
29 September 2022 12:15,576,435,Ireland
29 September 2022 12:30,556,396,Ireland
29 September 2022 12:45,537,375,Ireland
29 September 2022 13:00,621,340,Ireland
29 September 2022 13:15,599,389,Ireland
29 September 2022 13:30,577,409,Ireland
29 September 2022 13:45,555,376,Ireland
29 September 2022 14:00,533,407,Ireland
29 September 2022 14:15,496,435,Ireland
29 September 2022 14:30,459,374,Ireland
29 September 2022 14:45,422,387,Ireland
29 September 2022 15:00,385,325,Ireland
29 September 2022 15:15,359,333,Ireland
29 September 2022 15:30,333,274,Ireland
29 September 2022 15:45,307,211,Ireland
29 September 2022 16:00,281,169,Ireland
29 September 2022 16:15,303,140,Ireland
29 September 2022 16:30,325,155,Ireland
29 September 2022 16:45,348,149,Ireland
29 September 2022 17:00,370,159,Ireland
29 September 2022 17:15,362,172,Ireland
29 September 2022 17:30,354,197,Ireland
29 September 2022 17:45,347,173,Ireland
29 September 2022 18:00,339,203,Ireland
29 September 2022 18:15,305,232,Ireland
29 September 2022 18:30,272,243,Ireland
29 September 2022 18:45,239,221,Ireland
29 September 2022 19:00,242,240,Ireland
29 September 2022 19:15,222,237,Ireland
29 September 2022 19:30,202,249,Ireland
29 September 2022 19:45,182,244,Ireland
29 September 2022 20:00,162,251,Ireland
29 September 2022 20:15,175,257,Ireland
29 September 2022 20:30,187,272,Ireland
29 September 2022 20:45,199,296,Ireland
29 September 2022 21:00,211,304,Ireland
29 September 2022 21:15,248,330,Ireland
29 September 2022 21:30,285,354,Ireland
29 September 2022 21:45,322,414,Ireland
29 September 2022 22:00,359,456,Ireland
29 September 2022 22:15,428,546,Ireland
29 September 2022 22:30,496,648,Ireland
29 September 2022 22:45,564,755,Ireland
29 September 2022 23:00,632,865,Ireland
29 September 2022 23:15,702,957,Ireland
29 September 2022 23:30,773,1003,Ireland
29 September 2022 23:45,843,1075,Ireland
