DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
26-09-22 0:00,3006,2132,Ireland
26-09-22 0:15,3016,2185,Ireland
26-09-22 0:30,3026,2190,Ireland
26-09-22 0:45,3035,2207,Ireland
26-09-22 1:00,3070,2207,Ireland
26-09-22 1:15,3076,2182,Ireland
26-09-22 1:30,3083,2166,Ireland
26-09-22 1:45,3089,2159,Ireland
26-09-22 2:00,3095,2124,Ireland
26-09-22 2:15,3122,2045,Ireland
26-09-22 2:30,3149,2038,Ireland
26-09-22 2:45,3176,2084,Ireland
26-09-22 3:00,3203,2074,Ireland
26-09-22 3:15,3198,2065,Ireland
26-09-22 3:30,3193,2069,Ireland
26-09-22 3:45,3188,2061,Ireland
26-09-22 4:00,3183,2081,Ireland
26-09-22 4:15,3153,2088,Ireland
26-09-22 4:30,3124,2054,Ireland
26-09-22 4:45,3094,2036,Ireland
26-09-22 5:00,3065,2068,Ireland
26-09-22 5:15,3031,2199,Ireland
26-09-22 5:30,2997,2271,Ireland
26-09-22 5:45,2964,2240,Ireland
26-09-22 6:00,2930,2289,Ireland
26-09-22 6:15,2865,2347,Ireland
26-09-22 6:30,2800,2411,Ireland
26-09-22 6:45,2735,2530,Ireland
26-09-22 7:00,2748,2566,Ireland
26-09-22 7:15,2696,2545,Ireland
26-09-22 7:30,2644,2545,Ireland
26-09-22 7:45,2592,2481,Ireland
26-09-22 8:00,2540,2348,Ireland
26-09-22 8:15,2489,2328,Ireland
26-09-22 8:30,2438,2240,Ireland
26-09-22 8:45,2388,2227,Ireland
26-09-22 9:00,2337,2165,Ireland
26-09-22 9:15,2302,2218,Ireland
26-09-22 9:30,2268,2132,Ireland
26-09-22 9:45,2234,2221,Ireland
26-09-22 10:00,2199,2245,Ireland
26-09-22 10:15,2173,2292,Ireland
26-09-22 10:30,2148,2287,Ireland
26-09-22 10:45,2122,2381,Ireland
26-09-22 11:00,2096,2361,Ireland
26-09-22 11:15,2090,2378,Ireland
26-09-22 11:30,2085,2408,Ireland
26-09-22 11:45,2079,2395,Ireland
26-09-22 12:00,2073,2459,Ireland
26-09-22 12:15,2111,2461,Ireland
26-09-22 12:30,2149,2462,Ireland
26-09-22 12:45,2187,2391,Ireland
26-09-22 13:00,2402,2360,Ireland
26-09-22 13:15,2415,2398,Ireland
26-09-22 13:30,2428,2453,Ireland
26-09-22 13:45,2441,2502,Ireland
26-09-22 14:00,2453,2576,Ireland
26-09-22 14:15,2464,2666,Ireland
26-09-22 14:30,2476,2590,Ireland
26-09-22 14:45,2487,2600,Ireland
26-09-22 15:00,2498,2611,Ireland
26-09-22 15:15,2488,2603,Ireland
26-09-22 15:30,2479,2638,Ireland
26-09-22 15:45,2470,2635,Ireland
26-09-22 16:00,2461,2570,Ireland
26-09-22 16:15,2424,2569,Ireland
26-09-22 16:30,2388,2641,Ireland
