DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
27 August 2022 00:00,72,17,Ireland
27 August 2022 00:15,70,20,Ireland
27 August 2022 00:30,67,21,Ireland
27 August 2022 00:45,65,20,Ireland
27 August 2022 01:00,57,20,Ireland
27 August 2022 01:15,57,18,Ireland
27 August 2022 01:30,56,18,Ireland
27 August 2022 01:45,56,20,Ireland
27 August 2022 02:00,55,19,Ireland
27 August 2022 02:15,55,20,Ireland
27 August 2022 02:30,55,24,Ireland
27 August 2022 02:45,55,30,Ireland
27 August 2022 03:00,55,33,Ireland
27 August 2022 03:15,55,30,Ireland
27 August 2022 03:30,55,34,Ireland
27 August 2022 03:45,54,38,Ireland
27 August 2022 04:00,54,38,Ireland
27 August 2022 04:15,54,46,Ireland
27 August 2022 04:30,55,56,Ireland
27 August 2022 04:45,55,65,Ireland
27 August 2022 05:00,55,68,Ireland
27 August 2022 05:15,57,66,Ireland
27 August 2022 05:30,58,71,Ireland
27 August 2022 05:45,60,67,Ireland
27 August 2022 06:00,61,65,Ireland
27 August 2022 06:15,63,62,Ireland
27 August 2022 06:30,64,57,Ireland
27 August 2022 06:45,65,57,Ireland
27 August 2022 07:00,60,52,Ireland
27 August 2022 07:15,62,55,Ireland
27 August 2022 07:30,63,62,Ireland
27 August 2022 07:45,65,62,Ireland
27 August 2022 08:00,66,64,Ireland
27 August 2022 08:15,67,63,Ireland
27 August 2022 08:30,67,64,Ireland
27 August 2022 08:45,68,61,Ireland
27 August 2022 09:00,69,52,Ireland
27 August 2022 09:15,68,51,Ireland
27 August 2022 09:30,67,50,Ireland
27 August 2022 09:45,66,49,Ireland
27 August 2022 10:00,65,46,Ireland
27 August 2022 10:15,64,39,Ireland
27 August 2022 10:30,62,33,Ireland
27 August 2022 10:45,60,30,Ireland
27 August 2022 11:00,58,24,Ireland
27 August 2022 11:15,56,26,Ireland
27 August 2022 11:30,54,27,Ireland
27 August 2022 11:45,51,25,Ireland
27 August 2022 12:00,49,25,Ireland
27 August 2022 12:15,48,28,Ireland
27 August 2022 12:30,47,23,Ireland
27 August 2022 12:45,45,19,Ireland
27 August 2022 13:00,45,18,Ireland
27 August 2022 13:15,45,19,Ireland
27 August 2022 13:30,44,18,Ireland
27 August 2022 13:45,44,18,Ireland
27 August 2022 14:00,44,19,Ireland
27 August 2022 14:15,43,17,Ireland
27 August 2022 14:30,43,15,Ireland
27 August 2022 14:45,43,13,Ireland
27 August 2022 15:00,42,11,Ireland
27 August 2022 15:15,42,12,Ireland
27 August 2022 15:30,42,10,Ireland
27 August 2022 15:45,43,12,Ireland
27 August 2022 16:00,43,14,Ireland
27 August 2022 16:15,42,17,Ireland
27 August 2022 16:30,42,14,Ireland
27 August 2022 16:45,42,18,Ireland
27 August 2022 17:00,42,18,Ireland
27 August 2022 17:15,41,21,Ireland
27 August 2022 17:30,41,23,Ireland
27 August 2022 17:45,41,24,Ireland
27 August 2022 18:00,41,26,Ireland
27 August 2022 18:15,40,29,Ireland
27 August 2022 18:30,40,24,Ireland
27 August 2022 18:45,39,25,Ireland
27 August 2022 19:00,36,23,Ireland
27 August 2022 19:15,38,23,Ireland
27 August 2022 19:30,40,23,Ireland
27 August 2022 19:45,43,23,Ireland
27 August 2022 20:00,45,29,Ireland
27 August 2022 20:15,50,33,Ireland
27 August 2022 20:30,54,39,Ireland
27 August 2022 20:45,59,42,Ireland
27 August 2022 21:00,64,40,Ireland
27 August 2022 21:15,69,44,Ireland
27 August 2022 21:30,73,49,Ireland
27 August 2022 21:45,78,58,Ireland
27 August 2022 22:00,83,68,Ireland
27 August 2022 22:15,85,84,Ireland
27 August 2022 22:30,87,85,Ireland
27 August 2022 22:45,89,86,Ireland
27 August 2022 23:00,91,89,Ireland
27 August 2022 23:15,93,88,Ireland
27 August 2022 23:30,95,90,Ireland
27 August 2022 23:45,97,91,Ireland
28 August 2022 00:00,99,98,Ireland
28 August 2022 00:15,103,99,Ireland
28 August 2022 00:30,108,100,Ireland
28 August 2022 00:45,113,100,Ireland
28 August 2022 01:00,103,100,Ireland
28 August 2022 01:15,109,99,Ireland
28 August 2022 01:30,114,104,Ireland
28 August 2022 01:45,120,122,Ireland
28 August 2022 02:00,126,134,Ireland
28 August 2022 02:15,135,140,Ireland
28 August 2022 02:30,144,142,Ireland
28 August 2022 02:45,153,162,Ireland
28 August 2022 03:00,162,165,Ireland
28 August 2022 03:15,172,174,Ireland
28 August 2022 03:30,182,182,Ireland
28 August 2022 03:45,191,194,Ireland
28 August 2022 04:00,201,222,Ireland
28 August 2022 04:15,208,242,Ireland
28 August 2022 04:30,215,268,Ireland
28 August 2022 04:45,222,300,Ireland
28 August 2022 05:00,229,320,Ireland
28 August 2022 05:15,236,337,Ireland
28 August 2022 05:30,243,347,Ireland
28 August 2022 05:45,250,365,Ireland
28 August 2022 06:00,257,391,Ireland
28 August 2022 06:15,271,386,Ireland
28 August 2022 06:30,285,385,Ireland
28 August 2022 06:45,298,406,Ireland
28 August 2022 07:00,316,417,Ireland
28 August 2022 07:15,322,388,Ireland
28 August 2022 07:30,327,372,Ireland
28 August 2022 07:45,332,345,Ireland
28 August 2022 08:00,337,326,Ireland
28 August 2022 08:15,339,304,Ireland
28 August 2022 08:30,340,282,Ireland
28 August 2022 08:45,342,266,Ireland
28 August 2022 09:00,344,250,Ireland
28 August 2022 09:15,334,228,Ireland
28 August 2022 09:30,323,218,Ireland
28 August 2022 09:45,313,206,Ireland
28 August 2022 10:00,303,196,Ireland
28 August 2022 10:15,288,177,Ireland
28 August 2022 10:30,273,173,Ireland
28 August 2022 10:45,258,161,Ireland
28 August 2022 11:00,243,160,Ireland
28 August 2022 11:15,245,160,Ireland
28 August 2022 11:30,246,172,Ireland
28 August 2022 11:45,247,170,Ireland
28 August 2022 12:00,249,171,Ireland
28 August 2022 12:15,252,169,Ireland
28 August 2022 12:30,256,167,Ireland
28 August 2022 12:45,259,159,Ireland
28 August 2022 13:00,312,165,Ireland
28 August 2022 13:15,321,183,Ireland
28 August 2022 13:30,330,190,Ireland
28 August 2022 13:45,339,212,Ireland
28 August 2022 14:00,348,222,Ireland
28 August 2022 14:15,359,249,Ireland
28 August 2022 14:30,371,270,Ireland
28 August 2022 14:45,382,287,Ireland
28 August 2022 15:00,394,296,Ireland
28 August 2022 15:15,406,309,Ireland
28 August 2022 15:30,419,306,Ireland
28 August 2022 15:45,431,329,Ireland
28 August 2022 16:00,444,310,Ireland
28 August 2022 16:15,447,323,Ireland
28 August 2022 16:30,450,330,Ireland
28 August 2022 16:45,454,320,Ireland
28 August 2022 17:00,457,308,Ireland
28 August 2022 17:15,475,285,Ireland
28 August 2022 17:30,493,287,Ireland
28 August 2022 17:45,511,303,Ireland
28 August 2022 18:00,529,301,Ireland
28 August 2022 18:15,531,293,Ireland
28 August 2022 18:30,533,298,Ireland
28 August 2022 18:45,535,307,Ireland
28 August 2022 19:00,558,310,Ireland
28 August 2022 19:15,543,322,Ireland
28 August 2022 19:30,527,360,Ireland
28 August 2022 19:45,512,396,Ireland
28 August 2022 20:00,497,416,Ireland
28 August 2022 20:15,481,421,Ireland
28 August 2022 20:30,464,448,Ireland
28 August 2022 20:45,447,475,Ireland
28 August 2022 21:00,431,480,Ireland
28 August 2022 21:15,429,511,Ireland
28 August 2022 21:30,428,526,Ireland
28 August 2022 21:45,427,536,Ireland
28 August 2022 22:00,426,553,Ireland
28 August 2022 22:15,432,567,Ireland
28 August 2022 22:30,439,561,Ireland
28 August 2022 22:45,445,545,Ireland
28 August 2022 23:00,452,548,Ireland
28 August 2022 23:15,476,536,Ireland
28 August 2022 23:30,499,522,Ireland
28 August 2022 23:45,523,543,Ireland
29 August 2022 00:00,546,546,Ireland
29 August 2022 00:15,561,560,Ireland
29 August 2022 00:30,575,565,Ireland
29 August 2022 00:45,589,558,Ireland
29 August 2022 01:00,512,549,Ireland
29 August 2022 01:15,508,534,Ireland
29 August 2022 01:30,503,550,Ireland
29 August 2022 01:45,499,564,Ireland
29 August 2022 02:00,494,574,Ireland
29 August 2022 02:15,491,575,Ireland
29 August 2022 02:30,488,583,Ireland
29 August 2022 02:45,485,592,Ireland
29 August 2022 03:00,482,605,Ireland
29 August 2022 03:15,492,606,Ireland
29 August 2022 03:30,503,601,Ireland
29 August 2022 03:45,513,578,Ireland
29 August 2022 04:00,524,582,Ireland
29 August 2022 04:15,526,575,Ireland
29 August 2022 04:30,529,582,Ireland
29 August 2022 04:45,532,579,Ireland
29 August 2022 05:00,534,580,Ireland
29 August 2022 05:15,551,580,Ireland
29 August 2022 05:30,567,575,Ireland
29 August 2022 05:45,584,575,Ireland
29 August 2022 06:00,601,605,Ireland
29 August 2022 06:15,594,619,Ireland
29 August 2022 06:30,588,622,Ireland
29 August 2022 06:45,581,636,Ireland
29 August 2022 07:00,537,646,Ireland
29 August 2022 07:15,532,642,Ireland
29 August 2022 07:30,527,623,Ireland
29 August 2022 07:45,522,622,Ireland
29 August 2022 08:00,518,636,Ireland
29 August 2022 08:15,495,643,Ireland
29 August 2022 08:30,472,623,Ireland
29 August 2022 08:45,449,562,Ireland
29 August 2022 09:00,426,506,Ireland
29 August 2022 09:15,411,440,Ireland
29 August 2022 09:30,396,395,Ireland
29 August 2022 09:45,381,372,Ireland
29 August 2022 10:00,365,342,Ireland
29 August 2022 10:15,359,341,Ireland
29 August 2022 10:30,352,323,Ireland
29 August 2022 10:45,345,311,Ireland
29 August 2022 11:00,338,285,Ireland
29 August 2022 11:15,357,291,Ireland
29 August 2022 11:30,375,307,Ireland
29 August 2022 11:45,394,344,Ireland
29 August 2022 12:00,413,354,Ireland
29 August 2022 12:15,443,419,Ireland
29 August 2022 12:30,473,441,Ireland
29 August 2022 12:45,503,478,Ireland
29 August 2022 13:00,502,522,Ireland
29 August 2022 13:15,518,555,Ireland
29 August 2022 13:30,533,539,Ireland
29 August 2022 13:45,549,554,Ireland
29 August 2022 14:00,565,567,Ireland
29 August 2022 14:15,581,568,Ireland
29 August 2022 14:30,598,585,Ireland
29 August 2022 14:45,614,606,Ireland
29 August 2022 15:00,631,609,Ireland
29 August 2022 15:15,639,620,Ireland
29 August 2022 15:30,648,651,Ireland
29 August 2022 15:45,656,649,Ireland
29 August 2022 16:00,665,629,Ireland
29 August 2022 16:15,663,681,Ireland
29 August 2022 16:30,661,724,Ireland
29 August 2022 16:45,659,683,Ireland
29 August 2022 17:00,657,705,Ireland
29 August 2022 17:15,641,713,Ireland
29 August 2022 17:30,626,738,Ireland
29 August 2022 17:45,610,706,Ireland
29 August 2022 18:00,594,713,Ireland
29 August 2022 18:15,572,688,Ireland
29 August 2022 18:30,550,677,Ireland
29 August 2022 18:45,528,668,Ireland
29 August 2022 19:00,547,648,Ireland
29 August 2022 19:15,535,619,Ireland
29 August 2022 19:30,524,617,Ireland
29 August 2022 19:45,512,611,Ireland
29 August 2022 20:00,501,620,Ireland
29 August 2022 20:15,489,633,Ireland
29 August 2022 20:30,477,649,Ireland
29 August 2022 20:45,466,674,Ireland
29 August 2022 21:00,454,683,Ireland
29 August 2022 21:15,459,700,Ireland
29 August 2022 21:30,464,738,Ireland
29 August 2022 21:45,469,783,Ireland
29 August 2022 22:00,474,791,Ireland
29 August 2022 22:15,485,797,Ireland
29 August 2022 22:30,495,816,Ireland
29 August 2022 22:45,506,807,Ireland
29 August 2022 23:00,517,813,Ireland
29 August 2022 23:15,532,817,Ireland
29 August 2022 23:30,547,822,Ireland
29 August 2022 23:45,562,855,Ireland
30 August 2022 00:00,577,864,Ireland
30 August 2022 00:15,598,862,Ireland
30 August 2022 00:30,619,861,Ireland
30 August 2022 00:45,640,837,Ireland
