DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
27 September 2022 00:00,2057,2207,Ireland
27 September 2022 00:15,2076,2213,Ireland
27 September 2022 00:30,2095,2157,Ireland
27 September 2022 00:45,2113,2110,Ireland
27 September 2022 01:00,2187,2105,Ireland
27 September 2022 01:15,2192,2135,Ireland
27 September 2022 01:30,2197,2235,Ireland
27 September 2022 01:45,2201,2235,Ireland
27 September 2022 02:00,2206,2262,Ireland
27 September 2022 02:15,2219,2223,Ireland
27 September 2022 02:30,2232,2256,Ireland
27 September 2022 02:45,2245,2289,Ireland
27 September 2022 03:00,2258,2352,Ireland
27 September 2022 03:15,2256,2371,Ireland
27 September 2022 03:30,2254,2371,Ireland
27 September 2022 03:45,2252,2311,Ireland
27 September 2022 04:00,2250,2402,Ireland
27 September 2022 04:15,2263,2406,Ireland
27 September 2022 04:30,2276,2415,Ireland
27 September 2022 04:45,2289,2448,Ireland
27 September 2022 05:00,2302,2388,Ireland
27 September 2022 05:15,2313,2406,Ireland
27 September 2022 05:30,2323,2361,Ireland
27 September 2022 05:45,2334,2381,Ireland
27 September 2022 06:00,2344,2345,Ireland
27 September 2022 06:15,2339,2433,Ireland
27 September 2022 06:30,2334,2363,Ireland
27 September 2022 06:45,2329,2300,Ireland
27 September 2022 07:00,2366,2305,Ireland
27 September 2022 07:15,2352,2334,Ireland
27 September 2022 07:30,2337,2296,Ireland
27 September 2022 07:45,2323,2295,Ireland
27 September 2022 08:00,2308,2189,Ireland
27 September 2022 08:15,2284,2148,Ireland
27 September 2022 08:30,2261,2069,Ireland
27 September 2022 08:45,2237,2124,Ireland
27 September 2022 09:00,2213,2091,Ireland
27 September 2022 09:15,2193,2021,Ireland
27 September 2022 09:30,2174,1984,Ireland
27 September 2022 09:45,2154,1893,Ireland
27 September 2022 10:00,2135,1900,Ireland
27 September 2022 10:15,2139,1894,Ireland
27 September 2022 10:30,2144,1937,Ireland
27 September 2022 10:45,2148,1994,Ireland
27 September 2022 11:00,2153,2043,Ireland
27 September 2022 11:15,2177,2011,Ireland
27 September 2022 11:30,2200,2043,Ireland
27 September 2022 11:45,2224,2055,Ireland
27 September 2022 12:00,2247,1990,Ireland
27 September 2022 12:15,2268,2027,Ireland
27 September 2022 12:30,2288,2008,Ireland
27 September 2022 12:45,2308,1993,Ireland
27 September 2022 13:00,2372,1996,Ireland
27 September 2022 13:15,2359,1933,Ireland
27 September 2022 13:30,2345,1934,Ireland
27 September 2022 13:45,2332,1893,Ireland
27 September 2022 14:00,2318,1959,Ireland
27 September 2022 14:15,2295,1907,Ireland
27 September 2022 14:30,2271,1923,Ireland
27 September 2022 14:45,2247,1982,Ireland
27 September 2022 15:00,2223,2050,Ireland
27 September 2022 15:15,2182,2078,Ireland
27 September 2022 15:30,2141,2011,Ireland
27 September 2022 15:45,2100,1977,Ireland
27 September 2022 16:00,2059,1922,Ireland
27 September 2022 16:15,2025,1942,Ireland
27 September 2022 16:30,1992,1893,Ireland
27 September 2022 16:45,1958,1856,Ireland
27 September 2022 17:00,1948,1898,Ireland
27 September 2022 17:15,1924,1917,Ireland
27 September 2022 17:30,1900,1855,Ireland
27 September 2022 17:45,1876,1725,Ireland
27 September 2022 18:00,1852,1695,Ireland
27 September 2022 18:15,1818,1683,Ireland
27 September 2022 18:30,1785,1675,Ireland
27 September 2022 18:45,1752,1696,Ireland
27 September 2022 19:00,1618,1647,Ireland
27 September 2022 19:15,1592,1635,Ireland
27 September 2022 19:30,1566,1566,Ireland
27 September 2022 19:45,1540,1516,Ireland
27 September 2022 20:00,1515,1450,Ireland
27 September 2022 20:15,1493,1430,Ireland
27 September 2022 20:30,1471,1288,Ireland
27 September 2022 20:45,1449,1285,Ireland
27 September 2022 21:00,1427,1273,Ireland
27 September 2022 21:15,1385,1223,Ireland
27 September 2022 21:30,1342,1127,Ireland
27 September 2022 21:45,1299,1112,Ireland
27 September 2022 22:00,1256,1028,Ireland
27 September 2022 22:15,1227,997,Ireland
27 September 2022 22:30,1199,956,Ireland
27 September 2022 22:45,1170,948,Ireland
27 September 2022 23:00,1142,889,Ireland
27 September 2022 23:15,1125,904,Ireland
27 September 2022 23:30,1108,879,Ireland
27 September 2022 23:45,1092,890,Ireland
