"DATE...TIME","ACTUAL.WIND.MW.","Carlow.wdsp","Carlow.msl","Cavan.wdsp","Cavan.msl","Clare.wdsp","Clare.msl","Cork.wdsp","Cork.msl","Donegal.wdsp","Donegal.msl","Dublin.wdsp","Dublin.msl","Galway.wdsp","Galway.msl","Kerry.wdsp","Kerry.msl","Mayo.wdsp","Mayo.msl","Meath.wdsp","Meath.msl","Roscommon.wdsp","Roscommon.msl","Tipperary.wdsp","Tipperary.msl","Wexford.wdsp","Wexford.msl"
"2022-08-27-00",78,1,1021.7,1,1021.2,1,1021.8,6,1021.3,4,1021,1,1021.6,6,1020.9,3,1021.6,2,1020.9,1,1021.3,1,1021.2,2,1021.6,3,1021.1
"2022-08-27-01",76,2,1021.5,2,1021,1,1021.6,5,1021.3,5,1020.8,2,1021.6,6,1020.7,3,1021.1,3,1020.8,1,1021.4,1,1021.1,2,1021.7,5,1021.1
"2022-08-27-02",93,1,1021.7,2,1021,2,1021.4,7,1021.2,5,1020.8,2,1021.5,6,1020.6,3,1020.9,4,1020.6,1,1021.4,1,1021,2,1021.4,4,1021
"2022-08-27-03",135,1,1021.5,2,1020.9,4,1021.2,6,1021,5,1020.5,3,1021.4,6,1020.3,2,1020.8,6,1020.3,1,1021.2,1,1020.8,3,1021.3,6,1021
"2022-08-27-04",205,1,1021.6,1,1020.7,3,1021.1,4,1020.7,6,1020.5,3,1021.3,8,1020,2,1020.6,4,1020,1,1021,1,1020.8,2,1021.2,6,1020.8
"2022-08-27-05",272,1,1021.2,2,1020.6,2,1020.8,5,1020.4,5,1020.1,4,1021.1,8,1019.8,2,1020.5,5,1019.8,1,1020.9,1,1020.6,1,1020.9,6,1020.6
"2022-08-27-06",241,1,1021.4,2,1020.6,2,1020.9,5,1020.5,6,1020.1,4,1021.2,9,1019.8,2,1020.5,4,1019.9,1,1021,1,1020.6,1,1020.9,6,1020.9
"2022-08-27-07",231,1,1021.6,2,1020.7,3,1021,5,1020.6,6,1020.2,3,1021.3,9,1019.9,4,1020.5,4,1020,1,1021.1,1,1020.7,1,1021.1,6,1021
"2022-08-27-08",252,1,1021.6,2,1020.9,4,1021.2,3,1020.9,4,1020.5,3,1021.6,10,1020,2,1020.6,4,1020.4,1,1021.4,1,1021,1,1021.1,4,1021.2
"2022-08-27-09",202,1,1021.7,2,1020.8,5,1021.4,3,1021,4,1020.6,3,1021.6,9,1020.4,2,1020.7,6,1020.4,1,1021.3,2,1021,2,1021.1,4,1021.4
"2022-08-27-10",148,2,1021.4,3,1020.8,5,1021.2,4,1021,3,1020.7,2,1021.6,9,1020.5,2,1020.6,6,1020.4,2,1021.3,3,1021,3,1021,5,1021.3
